X1,Eff..PAI,True.PAI,method1,method2,site,plot,year,month,fcover,se_for_true_PAI,Direct_fapar,Diffuse_fapar,final_FAPAR,plot_code,CF
CE V6.1,1.49,2.56,CE,P180,KOG,4,2013,8,0.595601643,0.121157502,0.673202062,0.706113124,0.699530911,KOG-04,0.58203125
CE V6.1,1.07,1.8,CE,P180,KOG,4,2013,9,0.563831864,0.08538578,0.613866208,0.641208954,0.635740405,KOG-04,0.594444444
CE V6.1,1.36,2.42,CE,P180,KOG,4,2013,11,0.625259435,0.112707519,0.656046037,0.684678826,0.678952268,KOG-04,0.561983471
CE V6.1,1.5,2.51,CE,P180,KOG,4,2013,12,0.579786467,0.110648746,0.655406645,0.690705873,0.683646028,KOG-04,0.597609562
CE V6.1,1.42,2.4,CE,P180,KOG,4,2014,1,0.570560632,0.106021492,0.640817841,0.684046042,0.675400402,KOG-04,0.591666667
CE V6.1,1.01,1.71,CE,P180,KOG,4,2014,2,0.55445033,0.075384147,0.573266464,0.594258682,0.590060238,KOG-04,0.590643275
CE V6.1,0.86,1.57,CE,P180,KOG,4,2014,3,0.520205013,0.087694678,0.526659484,0.554477706,0.548914062,KOG-04,0.547770701
CE V6.1,1.14,2.03,CE,P180,KOG,4,2014,4,0.572481435,0.100248491,0.620627568,0.645495485,0.640521901,KOG-04,0.561576355
CE V6.1,1.33,2.41,CE,P180,KOG,4,2014,5,0.599457316,0.118235209,0.654141428,0.681292063,0.675861936,KOG-04,0.55186722
CE V6.1,0.7,0.7,CE,P180,KOG,4,2014,6,0.747525981,NA,0.66108183,0.631657687,0.637542516,KOG-04,1
CE V6.1,1.54,2.72,CE,P180,KOG,4,2014,7,0.600563654,0.154226864,0.674627612,0.711078733,0.703788509,KOG-04,0.566176471
CE V6.1,1.59,2.8,CE,P180,KOG,4,2014,9,0.597300944,0.098603292,0.674922102,0.711881399,0.70448954,KOG-04,0.567857143
CE V6.1,1.45,2.67,CE,P180,KOG,4,2014,11,0.638246218,0.122230606,0.676759087,0.705069905,0.699407741,KOG-04,0.543071161
CE V6.1,1.33,2.4,CE,P180,KOG,4,2014,12,0.635347916,0.132416076,0.664559833,0.691683713,0.686258937,KOG-04,0.554166667
CE V6.1,1.28,2.29,CE,P180,KOG,4,2015,1,0.601072123,0.105911407,0.630365708,0.664440257,0.657625347,KOG-04,0.558951965
CE V6.1,1.34,2.36,CE,P180,KOG,4,2015,3,0.577938682,0.08941809,0.633606842,0.667762736,0.660931557,KOG-04,0.56779661
CE V6.1,1.3,2.3,CE,P180,KOG,4,2015,4,0.608935085,0.113124058,0.657500395,0.680528435,0.675922827,KOG-04,0.565217391
CE V6.1,1.3,2.23,CE,P180,KOG,4,2015,5,0.57330747,0.089805372,0.626833082,0.654170082,0.648702682,KOG-04,0.582959641
CE V6.1,1.27,2.32,CE,P180,KOG,4,2015,6,0.608203818,0.093313509,0.637229111,0.664568519,0.659100637,KOG-04,0.547413793
CE V6.1,1.78,3.12,CE,P180,KOG,4,2015,7,0.601319524,0.147888546,0.703762869,0.73845752,0.73151859,KOG-04,0.570512821
CE V6.1,1.7,3.01,CE,P180,KOG,4,2015,8,0.638969175,0.130822784,0.711421964,0.740004852,0.734288275,KOG-04,0.564784053
CE V6.1,1.62,2.83,CE,P180,KOG,4,2015,9,0.599684264,0.134838269,0.691972648,0.7277731,0.720613009,KOG-04,0.572438163
CE V6.1,1.48,2.7,CE,P180,KOG,4,2015,10,0.624657504,0.110623003,0.701278895,0.724873461,0.720154548,KOG-04,0.548148148
CE V6.1,1.74,3.08,CE,P180,KOG,4,2015,11,0.617370292,0.157489601,0.690516802,0.73072993,0.722687304,KOG-04,0.564935065
CE V6.1,1.47,2.56,CE,P180,KOG,4,2015,12,0.614261423,0.124004531,0.679594854,0.712190257,0.705671177,KOG-04,0.57421875
CE V6.1,1.52,2.63,CE,P180,KOG,4,2016,1,0.387554066,0.129927648,0.564639808,0.62251677,0.610941378,KOG-04,0.577946768
CE V6.1,1.22,2.21,CE,P180,KOG,4,2016,2,0.504723844,0.105815665,0.586542473,0.62578257,0.617934551,KOG-04,0.552036199
CE V6.1,1.28,2.22,CE,P180,KOG,4,2016,3,0.570084357,0.070202078,0.617248955,0.656652704,0.648771954,KOG-04,0.576576577
CE V6.1,1.51,2.66,CE,P180,KOG,4,2016,4,0.627359778,0.085866278,0.679776441,0.704346787,0.699432718,KOG-04,0.567669173
CE V6.1,1.52,2.69,CE,P180,KOG,4,2016,5,0.621787198,0.096871666,0.700340334,0.726825582,0.721528532,KOG-04,0.565055762
CE V6.1,1.43,2.69,CE,P180,KOG,4,2017,5,0.627946599,0.061528622,0.676168073,0.703396768,0.697951029,KOG-04,0.531598513
CE V6.1,1.61,2.79,CE,P180,KOG,4,2017,7,0.565207277,0.108654269,0.688601348,0.718108417,0.712207004,KOG-04,0.577060932
CE V6.1,2.07,3.88,CE,P180,KOG,4,2017,8,0.648143657,0.177512492,0.767764551,0.788225376,0.784133211,KOG-04,0.533505155
CE V6.1,1.69,2.91,CE,P180,KOG,4,2017,9,0.615700632,0.114229556,0.703911048,0.741449119,0.733941505,KOG-04,0.580756014
CE V6.1,1.67,2.86,CE,P180,KOG,4,2017,10,0.627284442,0.102222588,0.700392341,0.73273656,0.726267716,KOG-04,0.583916084
CE V6.1,1.58,2.86,CE,P180,KOG,4,2017,11,0.658414512,0.083721538,0.713268122,0.738952631,0.733815729,KOG-04,0.552447552
CE V6.1,1.35,2.4,CE,P180,KOG,4,2017,12,0.574996033,0.092090781,0.629110974,0.66179533,0.655258459,KOG-04,0.5625
CE V6.1,0.7,0.7,CE,P180,KOG,5,2012,3,0.681734059,NA,0.621353001,0.615245988,0.616467391,KOG-05,1
CE V6.1,0.98,1.72,CE,P180,KOG,5,2013,9,0.356695553,0.079203933,0.508746714,0.548590397,0.54062166,KOG-05,0.569767442
CE V6.1,1.25,2.17,CE,P180,KOG,5,2013,11,0.459271896,0.069329671,0.599913533,0.636794026,0.629417927,KOG-05,0.576036866
CE V6.1,1.11,1.94,CE,P180,KOG,5,2013,12,0.437814624,0.066516886,0.565150336,0.595114251,0.589121468,KOG-05,0.572164948
CE V6.1,1.2,2.07,CE,P180,KOG,5,2014,1,0.407672933,0.076132279,0.551885495,0.594630332,0.586081364,KOG-05,0.579710145
CE V6.1,0.79,1.3,CE,P180,KOG,5,2014,2,0.353881474,0.065747953,0.476137052,0.502784441,0.497454963,KOG-05,0.607692308
CE V6.1,0.64,1.12,CE,P180,KOG,5,2014,3,0.227988232,0.072495696,0.373070818,0.417105237,0.408298353,KOG-05,0.571428571
CE V6.1,0.71,1.36,CE,P180,KOG,5,2014,4,0.318063386,0.058377126,0.436921574,0.471447421,0.464542251,KOG-05,0.522058824
CE V6.1,1.15,2.21,CE,P180,KOG,5,2014,5,0.472925935,0.08146806,0.579867622,0.614488273,0.607564142,KOG-05,0.520361991
CE V6.1,1.34,2.44,CE,P180,KOG,5,2014,7,0.469490417,0.101216731,0.611551425,0.651518066,0.643524738,KOG-05,0.549180328
CE V6.1,1.22,2.25,CE,P180,KOG,5,2014,9,0.454973946,0.07874616,0.590658089,0.625610133,0.618619725,KOG-05,0.542222222
CE V6.1,1.24,2.25,CE,P180,KOG,5,2014,10,0.452309463,0.062447979,0.599040486,0.636854435,0.629291645,KOG-05,0.551111111
CE V6.1,1.36,2.37,CE,P180,KOG,5,2014,11,0.475537321,0.06527889,0.612078365,0.648768192,0.641430227,KOG-05,0.573839662
CE V6.1,1.2,2.14,CE,P180,KOG,5,2014,12,0.417013552,0.07907006,0.57389954,0.620878089,0.611482379,KOG-05,0.560747664
CE V6.1,1.12,2.03,CE,P180,KOG,5,2015,1,0.39826372,0.074268592,0.551740239,0.588226836,0.580929516,KOG-05,0.551724138
CE V6.1,0.88,1.68,CE,P180,KOG,5,2015,2,0.320172763,0.067872019,0.472751523,0.510259649,0.502758024,KOG-05,0.523809524
CE V6.1,1.05,1.94,CE,P180,KOG,5,2015,3,0.406305613,0.055345948,0.536149202,0.575907199,0.567955599,KOG-05,0.541237113
CE V6.1,1.23,2.26,CE,P180,KOG,5,2015,5,0.452562922,0.076849497,0.608646685,0.641328849,0.634792417,KOG-05,0.544247788
CE V6.1,1.11,2.18,CE,P180,KOG,5,2015,6,0.489089824,0.083532011,0.592367594,0.614296747,0.609910917,KOG-05,0.509174312
CE V6.1,1.26,2.37,CE,P180,KOG,5,2015,7,0.472010673,0.089836093,0.592966983,0.625229209,0.618776764,KOG-05,0.53164557
CE V6.1,1.34,2.6,CE,P180,KOG,5,2015,8,0.498608991,0.09741938,0.620264973,0.657129465,0.649756566,KOG-05,0.515384615
CE V6.1,1.22,2.41,CE,P180,KOG,5,2015,9,0.494516863,0.088617106,0.609301801,0.642318576,0.635715221,KOG-05,0.506224066
CE V6.1,1.33,2.4,CE,P180,KOG,5,2015,10,0.45807805,0.095111719,0.603300826,0.644529314,0.636283617,KOG-05,0.554166667
CE V6.1,1.37,2.42,CE,P180,KOG,5,2015,11,0.439597728,0.084760255,0.612455271,0.654994774,0.646486873,KOG-05,0.566115702
CE V6.1,1.25,2.24,CE,P180,KOG,5,2015,12,0.45526982,0.086488513,0.58829472,0.625753975,0.618262124,KOG-05,0.558035714
CE V6.1,0.99,1.85,CE,P180,KOG,5,2016,2,0.366369408,0.084598929,0.506031658,0.552042768,0.542840546,KOG-05,0.535135135
CE V6.1,0.97,1.84,CE,P180,KOG,5,2016,3,0.403093312,0.078269701,0.527185448,0.55692349,0.550975881,KOG-05,0.527173913
CE V6.1,1.19,2.29,CE,P180,KOG,5,2016,4,0.480612485,0.258884465,0.594570407,0.629942244,0.622867877,KOG-05,0.519650655
CE V6.1,1.28,2.24,CE,P180,KOG,5,2016,5,0.408096126,0.07582033,0.562343463,0.610091274,0.600541712,KOG-05,0.571428571
CE V6.1,1.09,2.17,CE,P180,KOG,5,2017,5,0.437208838,0.079539546,0.566768662,0.598587397,0.59222365,KOG-05,0.502304147
CE V6.1,1.51,2.95,CE,P180,KOG,5,2017,7,0.387771961,0.2214005,0.610399107,0.658308404,0.648726545,KOG-05,0.511864407
CE V6.1,1.32,2.49,CE,P180,KOG,5,2017,8,0.470104543,0.07056095,0.592858293,0.639334097,0.630038936,KOG-05,0.530120482
CE V6.1,1.31,2.64,CE,P180,KOG,5,2017,10,0.485531452,0.10445297,0.607317528,0.646787761,0.638893715,KOG-05,0.496212121
CE V6.1,1.32,2.5,CE,P180,KOG,5,2017,11,0.506495063,0.100664795,0.615384213,0.65656821,0.648331411,KOG-05,0.528
CE V6.1,1.15,2.21,CE,P180,KOG,5,2017,12,0.424454129,0.081878999,0.563963616,0.60444737,0.596350619,KOG-05,0.520361991
CE V6.1,1.91,3.13,CE,P180,KOG,6,2013,9,0.728884434,0.132291662,0.767823887,0.792371665,0.787462109,KOG-06,0.610223642
CE V6.1,1.31,2.14,CE,P180,KOG,6,2013,11,0.627385263,0.058687657,0.672322059,0.694633775,0.690171432,KOG-06,0.612149533
CE V6.1,1.25,2.03,CE,P180,KOG,6,2013,12,0.597631454,0.036917916,0.643289098,0.677449501,0.67061742,KOG-06,0.615763547
CE V6.1,1.26,2.03,CE,P180,KOG,6,2014,1,0.533774136,0.066771785,0.628273816,0.663768989,0.656669955,KOG-06,0.620689655
CE V6.1,1.06,1.77,CE,P180,KOG,6,2014,2,0.50680583,0.059691198,0.590808598,0.615821952,0.610819281,KOG-06,0.598870056
CE V6.1,0.4,0.65,CE,P180,KOG,6,2014,3,0.203768155,0.045391177,0.271624824,0.289796529,0.286162188,KOG-06,0.615384615
CE V6.1,1.25,2.07,CE,P180,KOG,6,2014,4,0.550835819,0.053309597,0.62166257,0.655166707,0.64846588,KOG-06,0.603864734
CE V6.1,1.52,2.72,CE,P180,KOG,6,2014,5,0.625655491,0.075005588,0.701099699,0.728649294,0.723139375,KOG-06,0.558823529
CE V6.1,1.49,2.61,CE,P180,KOG,6,2014,6,0.687270627,0.079595032,0.725266691,0.749261489,0.74446253,KOG-06,0.570881226
CE V6.1,1.62,2.73,CE,P180,KOG,6,2014,8,0.687816207,0.094484977,0.726990872,0.753896691,0.748515527,KOG-06,0.593406593
CE V6.1,1.63,2.72,CE,P180,KOG,6,2014,9,0.678041285,0.092554746,0.721096228,0.750710842,0.744787919,KOG-06,0.599264706
CE V6.1,1.66,2.72,CE,P180,KOG,6,2014,10,0.677716491,0.070028382,0.715766419,0.749471386,0.742730393,KOG-06,0.610294118
CE V6.1,1.45,2.55,CE,P180,KOG,6,2014,11,0.717250066,0.077122048,0.710319709,0.732035283,0.727692168,KOG-06,0.568627451
CE V6.1,1.36,2.35,CE,P180,KOG,6,2014,12,0.646278206,0.06520396,0.665406347,0.695834482,0.689748855,KOG-06,0.578723404
CE V6.1,1.34,2.28,CE,P180,KOG,6,2015,1,0.577124817,0.066051841,0.641701831,0.677625886,0.670441075,KOG-06,0.587719298
CE V6.1,1.19,1.98,CE,P180,KOG,6,2015,2,0.576776245,0.053254326,0.614208234,0.645688414,0.639392378,KOG-06,0.601010101
CE V6.1,1.46,2.45,CE,P180,KOG,6,2015,3,0.577870171,0.077360796,0.649125399,0.694300998,0.685265878,KOG-06,0.595918367
CE V6.1,1.44,2.36,CE,P180,KOG,6,2015,4,0.623701088,0.059994763,0.671358859,0.698676857,0.693213257,KOG-06,0.610169492
CE V6.1,1.48,2.43,CE,P180,KOG,6,2015,5,0.537378809,0.070487125,0.669444828,0.703423071,0.696627423,KOG-06,0.609053498
CE V6.1,1.6,2.79,CE,P180,KOG,6,2015,6,0.707413088,0.073570884,0.734645797,0.757092651,0.75260328,KOG-06,0.573476703
