year,month,Tmean,Tmax,Tmin,VPDmean,VPDmax,date,site
1999,6,25.50287311191235,27.446216141678946,22.54481751629353,0.422527012598284,1.5654756711230706,1999-06-15T00:00:00Z,BOB
1999,7,24.611106335456572,26.264000204884542,22.271237065761422,0.34571054325303263,1.1678803492032208,1999-07-15T00:00:00Z,BOB
1999,8,25.70151964909184,27.560437439650492,22.594745126847258,0.503754993778999,1.3024731196090604,1999-08-15T00:00:00Z,BOB
1999,9,25.193573489154858,26.841211223543684,22.44099396265688,0.35647522790375064,1.5901093988323631,1999-09-15T00:00:00Z,BOB
1999,10,24.979333133663964,26.86679468804623,22.286550000606493,0.3622385243474984,1.4889555031398278,1999-10-15T00:00:00Z,BOB
1999,11,25.843885671471828,27.790705929933583,22.34850266922396,0.5594845895402205,1.6236270335919385,1999-11-15T00:00:00Z,BOB
1999,12,24.991882765571223,27.096939282987016,22.261707094188896,0.6601896984514767,2.8935458788538964,1999-12-15T00:00:00Z,BOB
2e3,1,25.434459415902992,27.48150300586329,21.823780327494514,0.7073930708941303,2.5013337143602117,2000-01-15T00:00:00Z,BOB
2e3,2,26.36511835053894,28.60197327576934,22.50243627735483,1.0435238118542478,2.9515235943964098,2000-02-15T00:00:00Z,BOB
2e3,3,26.514399812330637,29.382798391252766,23.101589085925983,0.6857496175568788,2.227860798072392,2000-03-15T00:00:00Z,BOB
2e3,4,26.56726124244654,28.536632388915987,23.040102849694325,0.7374267695272965,2.062449575072402,2000-04-15T00:00:00Z,BOB
2e3,5,26.255292308403387,28.28441280474117,22.815227854994465,0.6197277423308464,2.0742395539091767,2000-05-15T00:00:00Z,BOB
2e3,6,25.275210435921224,26.978816101070915,22.395835280855234,0.4081277997673519,1.6862459634055642,2000-06-15T00:00:00Z,BOB
2e3,7,25.125982784318975,26.480793462772287,22.349139481986693,0.42483212671012166,1.2466190283259106,2000-07-15T00:00:00Z,BOB
2e3,8,24.615655382889468,26.239421939790912,22.25804700389919,0.3174185538266306,1.3485097965442157,2000-08-15T00:00:00Z,BOB
2e3,9,24.85604863667704,26.668382872251104,22.332160427421652,0.31835242164154,1.1860888261242577,2000-09-15T00:00:00Z,BOB
2e3,10,24.66863323296301,26.42626842772103,22.227571008850894,0.32532061871986556,1.4683465623449898,2000-10-15T00:00:00Z,BOB
2e3,11,25.399135715240618,27.355309223501024,22.535393289934234,0.4383975213158843,1.5636665332134505,2000-11-15T00:00:00Z,BOB
2e3,12,25.239712205235463,27.509692747554258,22.506467082641212,0.6799667546330707,1.9825876929721316,2000-12-15T00:00:00Z,BOB
2001,1,27.01983024832394,28.808507812092035,22.012153375921383,1.1233756677918645,2.543546446116898,2001-01-15T00:00:00Z,BOB
2001,2,27.154686668982674,29.125714681403434,22.787276642121157,1.1838293625869614,2.9106753536198045,2001-02-15T00:00:00Z,BOB
2001,3,26.955171549770537,29.339015632257915,22.989862265426748,0.8574980778719498,2.2677261363119947,2001-03-15T00:00:00Z,BOB
2001,4,27.04463919843629,28.801884656856018,23.030770502454946,0.7749353155566502,2.1607306826921864,2001-04-15T00:00:00Z,BOB
2001,5,26.371821436350277,28.575104540722165,22.833223744738973,0.6238540997279609,2.0222490017932655,2001-05-15T00:00:00Z,BOB
2001,6,25.11723226464169,26.796453345119314,22.416934102617443,0.37957511915706793,1.3885455655274779,2001-06-15T00:00:00Z,BOB
2001,7,25.171552923007635,26.723332871639528,22.55119233151322,0.35907806490050165,1.1988825449358151,2001-07-15T00:00:00Z,BOB
2001,8,24.319923158697577,26.167378395643674,22.13086654770426,0.2994977423132667,1.2871669454857972,2001-08-15T00:00:00Z,BOB
2001,9,24.625325504146705,26.4725135184558,22.296558129600093,0.3284785194618701,1.5411792800782282,2001-09-15T00:00:00Z,BOB
2001,10,24.838213149091064,26.543292720546567,22.273360557264102,0.2864638552578223,1.411644699373526,2001-10-15T00:00:00Z,BOB
2001,11,25.254689629509702,27.14780099801945,22.40762931850485,0.3978589178938225,1.4998540102704476,2001-11-15T00:00:00Z,BOB
2001,12,25.193454090366593,26.90756474613218,22.556108303922954,0.5809228397553882,2.428563241264347,2001-12-15T00:00:00Z,BOB
2002,1,26.142122727314476,27.99835705490598,22.336732194602405,0.8961443081655959,2.637242807012025,2002-01-15T00:00:00Z,BOB
2002,2,26.21031500809858,28.207828197681376,22.600051682073044,0.8151473563897017,2.4077568604705197,2002-02-15T00:00:00Z,BOB
2002,3,26.329792353696813,28.682833173282578,22.74872713169208,0.8198070309505493,2.4073687189571698,2002-03-15T00:00:00Z,BOB
2002,4,27.55717811093486,29.906402127517982,23.612093093951454,0.9259955927206578,2.1842592871977127,2002-04-15T00:00:00Z,BOB
2002,5,26.87422566803689,28.9756689146177,22.961057658056028,0.70038467629741,2.222342150909292,2002-05-15T00:00:00Z,BOB
